aX,aY,aZ,gX,gY,gZ
0.815,1.262,-0.167,184.692,31.799,-259.705
0.218,0.284,0.130,39.368,50.415,-184.204
0.130,0.512,0.337,-60.120,59.814,54.626
-0.001,0.921,0.496,-4.639,37.354,180.237
-0.298,0.849,0.396,33.569,24.597,180.542
-0.274,0.728,0.174,31.799,15.259,107.605
-0.246,0.750,0.030,34.302,0.000,42.175
-0.216,0.676,0.027,35.034,-10.681,-1.831
-0.164,0.707,0.107,31.067,-14.771,-13.733
-0.127,0.730,0.202,17.395,-18.372,-16.174
-0.101,0.783,0.282,-2.686,-19.470,-10.010
-0.079,0.838,0.339,-13.916,-18.860,-3.967
-0.041,0.893,0.337,-15.991,-16.113,-2.869
-0.007,0.949,0.295,-15.564,-11.963,-0.671
0.026,1.008,0.257,-12.512,-9.033,2.625
0.070,1.063,0.231,-8.301,-6.470,3.723
0.094,1.109,0.220,-1.709,-4.883,0.977
0.101,1.122,0.219,6.409,-4.028,-3.235
0.077,1.079,0.229,14.404,-3.723,-5.371
0.021,1.021,0.235,19.226,-3.113,-4.822
0.002,0.969,0.234,22.034,-1.465,-4.089
-0.028,0.906,0.245,22.705,0.183,-3.296
-0.059,0.856,0.256,21.667,1.160,-2.319
-0.077,0.825,0.269,19.653,2.014,-1.343
-0.061,0.837,0.252,17.578,2.808,-1.099
-0.049,0.855,0.233,16.479,3.540,-1.404
-0.048,0.854,0.230,13.489,3.601,-2.380
-0.035,0.875,0.252,9.155,4.150,-2.502
-0.018,0.891,0.274,5.066,4.761,-1.831
-0.008,0.906,0.283,1.953,4.761,-0.916
0.001,0.927,0.275,0.427,4.456,-0.488
0.008,0.943,0.262,0.427,4.333,-0.854
0.022,0.967,0.240,1.221,4.333,-1.343
0.037,1.002,0.204,2.380,3.601,-1.892
0.047,1.014,0.198,3.845,1.892,-2.380
0.034,0.992,0.223,4.150,0.793,-2.197
0.023,0.968,0.252,3.540,0.244,-1.038
0.015,0.941,0.268,3.662,0.183,0.488
0.012,0.927,0.268,4.395,0.305,0.916
0.005,0.925,0.255,5.981,0.305,0.061
-0.009,0.906,0.245,7.568,0.000,-0.854
-0.022,0.890,0.251,8.484,0.366,-0.793
-0.025,0.880,0.258,7.690,0.977,-0.427
-0.031,0.875,0.265,5.249,1.282,-0.061
-0.029,0.885,0.269,2.930,1.404,0.305
-0.011,0.903,0.268,0.793,1.465,0.549
-0.009,0.909,0.271,-0.305,0.916,0.122
